path,symbol,symbol_type,line,action_default,status
mapper/mem_planner.py,sort_fn_conflict_s_r,function,801,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,test_priority_mapper,function,806,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,test_seq_mapper,function,817,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,test_cyclic_mapper,function,828,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,verif_utils,function,839,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,exam_json_result,function,849,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,__post_init__,function,46,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,__hash__,function,50,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,__eq__,function,53,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,to_dict,function,56,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,__hash__,function,63,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,__eq__,function,66,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,__init__,function,98,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,update_size,function,103,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,copy,function,106,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,to_dict,function,109,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,__init__,function,125,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,from_dict,function,131,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,__init__,function,136,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,to_json,function,139,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,from_json,function,142,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,prority_mapper,function,152,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,__init__,function,169,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,to_json,function,174,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,alloc,function,177,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,release,function,199,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,incr_max_offset,function,241,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,first_fit_placement,function,259,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,worst_fit_placement,function,279,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,best_fit_placement,function,297,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,try_to_place,function,315,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,seq_mapper_old,function,340,record-only,SYMBOL_CANDIDATE
mapper/mem_planner.py,seq_mapper,function,369,record-only,SYMBOL_CANDIDATE
model/barrier_agent.py,Barrier,class,3,record-only,SYMBOL_CANDIDATE
model/barrier_agent.py,test_barrier,function,25,record-only,SYMBOL_CANDIDATE
model/barrier_agent.py,__init__,function,4,record-only,SYMBOL_CANDIDATE
model/barrier_agent.py,update,function,10,record-only,SYMBOL_CANDIDATE
model/barrier_agent.py,assert_barrier,function,16,record-only,SYMBOL_CANDIDATE
model/barrier_agent.py,state,function,21,record-only,SYMBOL_CANDIDATE
model/buffer.py,Data,class,15,record-only,SYMBOL_CANDIDATE
model/buffer.py,Buffer,class,52,record-only,SYMBOL_CANDIDATE
model/buffer.py,LifeTimeModel,class,117,record-only,SYMBOL_CANDIDATE
model/buffer.py,EventCache,class,213,record-only,SYMBOL_CANDIDATE
model/buffer.py,TriggerCache,class,258,record-only,SYMBOL_CANDIDATE
