aux_scale_factor,e2e_latency,wsc_slack_ratio,temporal_rda_ratio,lateness_mode,filename,num_cores,file_suffix,confidence,ddl_percentile,rt_percentile
6,0.09,0.75,0.05,,dynamic_e2e_trace,420,var_0.2,99.9,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,420,var_0.2,99.99,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,440,var_0.2,90.0,0.089803881365625,0.0939562970462499
6,0.09,0.75,0.05,,dynamic_e2e_trace,440,var_0.2,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,440,var_0.2,99.0,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,440,var_0.2,99.9,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,440,var_0.2,99.99,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,310,,90.0,0.0802706667656041,0.0883140596197499
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,310,,95.0,0.0819652842864166,0.0898403745631249
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,310,,99.0,0.0856817757054645,0.0924585863492687
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,310,,99.9,0.0870213529321714,0.0931345687485006
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,310,,99.99,0.0871553106548421,0.0931982957434125
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,315,,90.0,0.0789478138532291,0.0852170636107499
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,315,,95.0,0.0807767135055624,0.0882632053012811
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,315,,99.0,0.0857527485306708,0.0920904982138499
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,315,,99.9,0.0870284502146921,0.0927083669234362
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,315,,99.99,0.0871560203830941,0.092774025039406
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,320,,90.0,0.0748675047049166,0.0680981414244999
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,320,,95.0,0.0803305428911666,0.0694930020549999
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,320,,99.0,0.0860420415687208,0.0755349633861812
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,320,,99.9,0.0873409707228096,0.0757736901618749
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,320,,99.99,0.0874708636382184,0.0757736901618749
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,340,,90.0,0.0292439523135416,0.0178507655749999
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,340,,95.0,0.0353903883898958,0.0178689936564062
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,340,,99.0,0.0393046516687374,0.0178926228605437
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,340,,99.9,0.0393110900326687,0.0178990534471906
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,340,,99.99,0.0393118765070793,0.017899975298344
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,360,,90.0,0.0272633153310416,0.0166323058098124
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,360,,95.0,0.0337863725305833,0.0166475144087499
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,360,,99.0,0.0376991353268624,0.0166622271592937
